id,household_income,anychildren,broadband,hispanic,race,region
1211,7,0,1,0,white,NE
9059,3,0,1,0,white,MW
4562,2,0,1,0,white,S
2121,5,0,0,0,white,W
4628,4,1,0,1,white,W
1688,6,1,0,0,black,S
2873,6,1,0,0,white,MW
7308,4,0,0,0,black,S
7377,5,0,0,0,white,NE
9653,3,0,1,0,black,S
8664,1,1,1,1,other,NE
6260,5,1,1,0,white,S
1440,6,1,1,0,white,S
9369,6,1,1,0,black,W
8754,4,0,0,1,white,W
14,1,1,0,0,white,W
9473,3,0,0,0,white,MW
6712,5,1,0,0,white,W
1179,6,1,0,0,white,MW
6409,5,0,1,0,white,S
6060,3,0,0,0,white,W
4608,6,0,1,1,white,NE
6265,6,0,1,0,white,NE
685,4,1,1,1,black,NE
3409,3,0,1,0,white,W
8463,1,0,0,0,asian,NE
40,5,0,0,0,white,MW
4669,5,0,1,0,white,MW
7060,3,0,1,0,white,S
3902,1,0,1,0,black,NE
2909,3,1,0,0,white,S
4858,5,1,1,0,white,MW
497,2,0,0,0,white,S
4092,2,0,0,0,white,NE
7844,5,0,1,0,white,W
5246,6,1,0,0,white,NE
7588,5,1,1,0,white,MW
7791,6,0,0,0,white,MW
386,5,1,1,0,white,MW
8628,4,1,0,0,white,MW
9155,6,0,1,0,white,W
1429,6,0,1,0,white,NE
1854,7,0,0,1,white,W
1547,5,1,0,1,white,W
3451,3,1,1,1,white,NE
6002,4,0,0,1,white,W
349,6,1,0,0,white,MW
6957,7,1,1,0,white,MW
8023,4,0,1,0,white,NE
7049,7,1,0,0,white,NE
5428,6,1,1,0,white,W
2361,6,0,1,0,white,NE
3539,3,0,0,0,white,NE
6282,6,1,1,0,white,S
357,5,1,1,0,white,MW
9418,5,0,0,0,white,MW
8461,3,1,1,1,other,MW
8073,5,0,0,0,white,MW
6798,4,0,1,0,white,MW
9939,5,0,0,0,white,NE
5842,4,0,1,0,white,S
6161,5,0,1,0,white,W
9847,6,1,1,0,white,S
10,7,1,1,0,white,NE
5822,6,0,1,0,white,NE
933,7,0,1,0,white,MW
5633,3,0,1,0,white,MW
4130,1,1,1,1,other,NE
9135,1,1,0,0,white,S
9094,2,0,0,0,white,MW
9917,5,0,1,0,white,MW
5544,6,0,1,0,white,MW
9929,7,0,0,0,black,NE
705,4,1,0,0,white,NE
1691,5,0,0,0,white,S
3468,5,1,1,0,white,NE
6820,4,0,1,0,white,S
168,5,1,1,0,white,S
3660,7,0,1,0,white,W
5967,5,0,0,0,white,MW
3356,4,1,0,1,white,S
614,5,0,1,0,black,MW
3393,4,0,0,0,white,MW
6794,3,0,0,0,white,NE
8636,5,0,0,0,white,MW
4921,4,0,1,0,white,W
1317,4,0,1,1,white,W
2329,4,1,1,0,white,NE
1129,4,0,1,0,white,W
6186,1,0,0,0,white,MW
4451,3,1,1,0,white,MW
7732,4,0,0,0,white,MW
8792,1,0,0,0,white,W
7447,5,0,1,0,white,S
314,5,1,1,0,white,W
2567,5,0,1,0,white,MW
5630,3,0,1,1,white,NE
768,7,0,1,0,black,S
908,5,0,1,0,white,S
7490,4,0,1,0,white,W
5622,5,0,0,0,white,MW
1227,3,0,0,0,white,MW
5573,5,0,0,1,white,MW
8341,5,0,1,1,white,S
2961,4,0,1,0,white,W
197,3,0,0,0,white,S
4500,3,0,0,0,white,S
4481,6,0,1,0,black,NE
3658,3,0,1,0,white,S
9798,7,1,1,0,white,NE
4210,4,1,1,0,white,MW
861,3,0,1,0,white,W
9429,6,0,1,0,white,MW
1154,4,0,1,0,white,S
4558,4,0,0,0,white,S
9358,4,0,1,0,white,MW
8239,4,1,1,0,white,W
9457,5,0,1,0,black,S
3685,4,0,1,0,white,S
8035,5,0,1,0,white,NE
8436,4,0,1,0,white,NE
9601,1,0,1,1,white,W
6062,3,0,0,0,white,MW
7873,4,1,1,0,white,W
2495,4,1,0,0,white,MW
7071,6,0,1,1,white,MW
5219,5,1,1,0,white,NE
8160,6,1,1,0,white,W
9873,2,0,1,1,other,NE
8663,4,0,1,0,white,S
7870,4,0,0,0,black,S
7702,4,0,1,0,white,NE
2896,3,0,1,0,white,S
3294,7,1,1,0,white,NE
1159,6,0,1,0,white,S
2393,7,1,1,0,white,NE
4999,5,0,1,0,white,S
8870,6,0,1,0,white,W
6050,5,1,1,0,asian,MW
3265,4,0,0,0,white,W
5547,4,0,0,0,black,S
486,1,1,0,0,white,NE
8464,7,0,1,0,white,W
1702,3,1,0,0,white,S
6963,5,0,1,0,white,MW
9379,3,0,1,0,black,NE
7934,7,0,1,0,white,W
3326,5,1,1,0,white,MW
5250,7,1,1,1,black,S
7019,5,0,1,0,white,S
3631,5,0,1,1,white,S
8148,6,0,0,0,white,W
448,4,0,1,0,white,W
8796,7,0,1,0,white,S
9764,4,1,1,0,black,MW
5234,3,1,1,0,white,NE
4958,3,1,1,0,white,MW
7622,4,0,1,1,other,S
3192,4,1,0,0,white,MW
3173,3,1,0,0,white,MW
6526,4,0,1,0,black,S
5009,4,0,1,0,white,MW
4889,4,0,1,0,white,S
6839,6,0,1,0,black,NE
4042,5,0,0,0,white,S
1263,6,1,1,0,white,S
326,3,0,0,0,black,NE
2437,4,1,1,0,white,S
4537,5,0,1,0,white,S
1035,5,1,1,0,white,S
2139,4,0,1,0,white,W
8840,4,1,1,0,white,W
5864,6,1,0,1,other,W
9056,5,1,0,1,other,W
2659,7,0,1,0,white,MW
7203,7,1,1,1,white,NE
2378,3,1,1,0,white,W
3784,2,1,0,0,white,W
3565,6,0,0,1,white,W
7165,4,0,0,0,black,MW
5750,5,1,1,0,white,NE
7207,4,0,1,0,white,S
8141,7,1,1,0,white,MW
615,7,0,1,0,white,W
7692,6,0,1,0,white,NE
9809,5,0,1,0,white,MW
6074,5,1,1,0,black,S
7687,5,0,1,0,white,MW
3452,5,1,1,0,white,MW
2015,4,1,1,0,black,S
2556,3,1,1,0,white,W
2728,7,0,1,0,white,MW
2754,5,0,1,0,white,S
9782,5,1,1,0,white,MW
1925,5,1,1,0,white,W
5487,3,0,0,0,white,NE
6307,4,0,1,0,white,S
3807,6,0,1,0,white,S
1362,7,0,0,0,white,W
5312,4,1,0,0,black,S
8735,3,1,1,0,white,NE
5321,5,1,1,0,white,NE
6025,1,1,0,0,white,MW
2217,4,1,0,1,white,MW
8622,3,1,1,0,white,S
5367,3,1,0,1,black,MW
339,7,1,1,0,white,NE
5988,3,0,1,0,white,W
8831,3,0,1,0,white,NE
2402,7,1,1,1,white,MW
8876,4,0,0,0,white,MW
5655,4,0,1,1,white,W
1655,2,1,1,0,white,S
535,7,1,0,0,white,NE
6485,4,1,1,0,white,MW
896,6,0,1,0,white,MW
517,5,0,1,1,white,S
5054,5,1,1,0,white,S
3768,4,1,1,1,white,S
4332,7,1,1,0,asian,W
19,7,1,1,0,white,W
7152,1,1,0,0,white,S
4513,2,1,0,1,white,NE
2491,3,1,0,0,white,S
252,1,1,0,0,white,NE
9567,5,1,1,0,black,NE
3512,7,1,1,0,white,S
8244,5,0,0,1,white,NE
4255,2,1,0,0,white,W
2238,5,0,1,1,white,W
2624,4,0,1,0,black,S
4539,7,1,0,1,white,W
6089,5,1,0,0,white,NE
8143,5,1,1,0,white,NE
5911,2,1,1,0,white,S
8473,5,1,1,0,white,S
6073,4,1,1,0,white,MW
7558,3,0,1,0,white,W
806,3,0,1,0,white,MW
4471,5,0,1,0,black,NE
9079,4,0,1,0,white,MW
1960,1,1,0,0,white,MW
5245,3,1,1,0,white,MW
3982,3,0,1,0,white,MW
128,3,1,1,1,white,W
1171,3,0,1,0,white,S
9394,4,0,1,0,asian,MW
2110,1,1,1,0,white,W
2566,1,0,0,0,white,NE
1320,7,1,1,1,white,MW
2054,6,1,0,0,black,S
6674,5,1,0,0,white,MW
1003,6,1,1,0,white,S
3340,5,1,0,1,other,W
8672,7,1,1,0,white,NE
1447,5,0,0,0,white,W
8921,6,0,1,0,white,W
4286,5,0,1,1,white,W
3433,3,0,1,0,white,NE
6232,4,0,1,1,white,W
4631,6,1,1,0,white,MW
4297,5,1,1,0,white,MW
5555,3,1,1,0,white,NE
7086,2,1,1,1,white,S
2413,7,1,1,0,white,NE
3124,7,1,1,0,white,NE
3944,5,0,1,0,white,MW
8325,7,1,1,0,white,NE
9392,4,1,0,0,white,S
7916,3,1,0,0,white,S
9096,3,1,1,0,white,W
5534,1,1,1,0,white,S
7880,7,0,0,1,white,W
9372,3,1,1,0,white,MW
8104,5,0,0,0,black,S
6439,5,1,0,0,black,S
4700,6,0,1,0,white,NE
7464,4,1,1,0,white,MW
2763,1,1,0,0,white,S
8444,6,1,1,0,white,MW
9618,2,1,1,0,white,W
4904,2,0,1,0,black,S
4771,4,0,1,0,asian,W
1507,5,1,0,0,white,NE
5225,5,0,1,0,white,S
7961,7,1,1,0,white,S
8633,4,1,0,0,white,NE
4131,5,0,1,0,white,S
2646,7,1,1,0,white,W
5530,6,0,1,0,white,NE
6454,7,0,1,0,white,W
1635,5,1,1,0,white,S
7762,5,1,1,0,white,NE
2670,2,0,1,0,white,S
6231,4,0,0,0,white,NE
878,5,1,0,1,white,W
4899,5,1,1,0,white,NE
1166,5,0,1,0,white,S
1821,1,0,1,0,white,W
7685,4,0,1,0,white,NE
3525,4,1,1,0,white,S
4727,2,0,0,0,white,S
8719,5,0,1,0,white,MW
8985,5,1,1,0,white,MW
5539,6,0,0,0,white,S
4309,5,0,1,0,white,MW
7731,5,1,1,0,white,W
1113,4,0,1,0,white,MW
5894,7,1,1,0,white,MW
772,3,1,0,0,white,S
4709,4,1,1,0,white,MW
3078,4,1,1,1,white,MW
1454,1,0,1,0,white,W
2799,6,1,0,1,white,NE
6789,7,0,1,0,white,W
6072,7,0,1,0,asian,W
6254,1,1,1,0,black,MW
9376,7,0,1,0,white,W
3137,1,1,0,0,white,S
9823,3,1,1,0,white,S
1485,6,0,1,0,white,S
7677,7,1,1,0,white,NE
6414,3,0,1,0,white,S
4673,4,1,1,0,white,W
8659,3,0,1,1,black,S
8704,7,0,0,0,black,MW
3595,3,0,1,1,other,W
4808,4,1,0,0,white,W
8454,7,0,1,0,white,NE
1961,4,1,1,0,white,MW
1953,4,1,0,0,white,NE
4076,3,1,1,0,white,MW
6950,5,0,0,0,white,MW
5478,1,0,1,0,white,MW
6160,3,1,0,0,other,W
6340,6,1,1,1,white,NE
114,3,0,1,0,other,S
3569,4,0,1,0,other,S
9517,3,0,0,1,other,W
5604,4,1,1,0,white,S
5792,4,0,1,0,white,W
3728,1,0,0,1,other,NE
7787,7,0,1,0,white,S
4535,5,1,1,0,white,MW
1614,4,1,1,0,white,S
2325,5,1,1,0,black,NE
1369,3,0,1,1,white,NE
1016,5,0,0,0,white,S
9230,6,1,1,0,white,W
6016,5,0,1,0,white,MW
4396,4,1,0,0,white,W
2120,5,1,1,1,white,MW
5389,4,1,1,0,white,S
1624,6,1,1,0,white,NE
7706,4,0,0,0,black,S
3351,5,1,1,0,white,S
2396,6,0,1,0,white,MW
984,3,1,0,0,white,S
1713,3,0,1,0,white,S
3203,7,1,1,0,white,NE
2861,6,1,1,1,white,MW
669,7,1,1,0,white,W
2295,4,0,1,0,white,W
2354,5,1,1,0,white,NE
4664,7,0,1,0,white,NE
761,4,0,1,0,white,S
1478,1,0,1,1,white,NE
4945,3,1,1,0,black,S
9278,5,0,1,1,white,S
3636,3,0,1,0,black,S
8999,7,1,1,0,white,W
1980,1,0,1,0,white,S
2231,7,1,0,0,white,NE
1612,4,1,1,1,white,W
4227,2,1,1,0,white,S
7461,5,0,0,1,white,NE
3444,3,0,1,0,white,NE
7028,5,1,0,0,white,MW
5525,5,0,1,0,white,S
8772,3,0,1,0,white,S
4852,5,1,0,0,white,S
3788,4,0,0,0,white,MW
1503,4,1,1,0,other,W
6941,4,1,0,0,white,S
8103,2,1,1,0,black,S
76,4,0,0,0,white,W
1156,5,1,1,0,white,MW
2816,4,0,1,0,white,S
5185,5,1,1,0,white,W
5652,5,0,1,0,white,MW
9054,6,0,1,0,white,W
3963,5,1,1,0,white,MW
8083,2,0,1,0,white,S
3924,2,1,1,0,white,MW
5665,4,1,1,0,white,S
5806,5,0,1,0,white,S
3701,5,0,1,0,asian,W
3596,6,1,1,0,white,NE
5556,3,1,1,0,white,MW
2952,3,1,1,0,white,W
5541,5,0,1,1,white,W
4362,5,0,1,0,white,S
8487,7,1,1,0,white,S
3953,5,0,0,0,white,S
2097,5,1,1,0,white,S
5672,2,1,1,0,white,MW
7850,4,0,1,0,white,S
156,4,0,1,0,white,MW
4846,6,0,1,0,white,MW
6288,3,0,1,1,white,S
9702,5,1,1,0,white,W
7576,7,1,1,1,white,S
8248,6,0,1,1,white,NE
8375,2,1,1,0,white,NE
9307,3,1,1,0,white,MW
7215,5,0,1,0,white,NE
3567,7,1,1,0,white,MW
3922,5,1,1,0,white,NE
6347,4,1,1,0,white,W
4941,4,0,1,1,white,W
432,3,0,0,1,black,MW
5370,7,1,1,0,white,NE
2854,7,1,1,0,white,MW
1505,4,1,1,0,white,S
5111,7,0,1,0,white,MW
1517,5,1,1,0,black,MW
922,6,1,1,1,white,W
3766,5,1,1,0,white,W
1938,1,0,0,0,white,S
564,7,1,1,1,white,S
9882,7,1,1,0,white,W
3932,6,0,1,0,white,S
3964,5,1,1,1,white,W
7925,4,1,0,0,white,S
4195,5,0,1,0,white,W
385,1,1,1,0,white,S
5336,5,1,1,0,white,S
9589,2,0,1,0,white,S
6403,5,1,1,0,white,NE
2504,4,1,1,1,white,W
1746,4,1,1,1,white,S
7312,4,1,1,0,white,W
1957,6,0,1,0,white,NE
1348,6,1,1,1,white,MW
9620,3,0,0,0,black,NE
3142,1,0,0,0,white,NE
9337,6,1,0,0,white,S
9298,2,1,1,0,black,S
3228,7,1,1,0,white,MW
4121,4,0,1,0,white,S
1329,4,1,1,0,white,S
846,5,0,1,0,white,W
6797,5,1,0,0,white,S
8407,5,0,0,0,other,MW
176,5,1,1,0,white,S
6851,4,0,1,0,white,MW
3566,4,0,1,0,black,MW
2123,4,1,0,0,white,S
2131,6,1,1,0,white,W
3150,1,1,0,0,white,S
2597,2,0,1,0,white,S
3049,5,1,1,0,white,S
7985,2,0,1,0,white,S
1769,4,0,1,0,white,S
7047,3,1,1,0,white,S
9061,4,1,1,0,white,W
6316,5,0,1,0,white,W
3863,2,1,1,0,white,W
6363,2,0,1,0,white,W
1148,4,1,1,0,white,MW
2844,4,0,1,0,white,S
7378,5,0,0,1,white,NE
3796,1,0,1,0,asian,NE
5681,4,0,1,0,white,NE
205,3,0,1,0,white,S
4573,1,1,1,0,white,MW
6068,4,0,1,1,white,S
4599,3,0,0,0,white,MW
9828,3,1,1,0,white,NE
3721,3,1,1,0,white,NE
2583,3,1,1,0,white,S
8810,5,1,1,0,white,S
6612,4,1,1,0,white,W
8655,4,0,1,0,white,W
7867,5,1,1,0,white,S
2550,5,0,1,0,white,S
6693,2,0,1,0,white,S
8370,5,0,1,1,white,W
110,5,1,1,0,white,MW
470,7,0,1,1,white,W
6751,2,0,1,0,white,W
774,1,1,1,0,white,NE
7570,5,0,1,0,white,S
6453,5,1,1,0,white,S
4083,3,1,1,0,white,NE
4238,5,0,1,0,white,W
3200,4,1,1,1,white,W
3134,6,1,1,1,white,S
8671,6,0,1,0,white,NE
68,5,1,1,0,white,W
5995,3,1,1,0,white,S
4106,6,1,1,0,asian,W
491,3,1,1,1,white,NE
4564,4,1,1,0,white,S
3623,5,0,0,1,white,S
5701,3,0,1,0,white,S
277,1,1,1,0,white,NE
6537,3,1,0,0,white,NE
937,4,0,0,1,white,S
2416,4,0,1,0,white,S
8123,2,0,1,0,white,NE
175,5,0,1,0,white,S
3735,2,0,1,1,white,NE
5721,5,1,1,0,white,NE
9532,4,1,0,0,white,S
8110,5,0,1,0,white,S
7522,7,1,1,0,white,S
6429,1,1,1,1,white,W
5846,2,0,1,0,white,NE
3850,4,1,1,0,white,S
6491,7,1,1,1,white,W
1253,5,1,1,0,white,NE
5841,5,1,0,0,white,S
7013,4,1,0,1,white,NE
5044,5,1,1,0,white,MW
7637,4,1,1,0,white,MW
4923,1,1,1,0,white,NE
2704,5,0,1,0,white,S
2124,5,1,1,1,white,MW
2789,6,1,1,0,white,S
456,7,0,1,0,white,S
7593,7,1,1,0,asian,NE
1664,4,1,1,0,white,MW
7328,5,0,1,0,asian,W
4804,4,1,1,0,white,S
9656,5,0,1,0,black,S
2724,6,1,1,0,white,MW
9170,2,0,1,0,white,MW
5985,4,0,1,0,white,NE
3614,6,1,1,0,white,MW
6005,4,0,1,0,white,W
6043,4,0,1,1,white,S
7224,7,0,1,0,white,NE
3977,1,0,1,1,white,NE
3622,4,1,1,0,white,NE
8795,5,1,1,0,white,W
8074,1,0,1,0,white,S
1802,5,0,1,0,white,S
2610,2,0,1,0,white,S
6245,5,1,1,0,white,S
7545,4,1,1,0,white,S
2991,5,0,1,0,other,NE
7439,4,0,1,0,white,S
7789,3,0,1,0,white,W
594,6,0,1,0,white,NE
1151,3,1,1,0,white,MW
765,3,1,0,0,white,MW
6764,6,1,1,0,white,NE
5484,6,0,0,0,white,NE
1461,7,1,1,0,white,S
9549,5,0,1,0,white,NE
344,6,0,1,0,white,S
5049,4,0,1,0,white,NE
5204,3,1,0,1,white,S
6397,7,1,1,0,white,MW
5028,4,0,1,0,white,W
5061,5,1,1,0,white,NE
8227,7,1,1,1,white,S
2759,4,0,1,0,white,S
3845,7,1,1,0,white,W
5088,7,0,1,0,white,S
8186,4,0,1,0,white,S
3411,2,0,1,0,white,S
3400,4,1,1,0,white,S
9671,5,0,1,0,white,MW
9085,6,1,1,0,white,MW
1804,3,0,0,1,white,S
4346,7,1,1,0,white,S
3794,4,0,0,0,white,MW
4458,5,1,1,0,white,S
6030,6,0,1,0,white,NE
3071,3,1,0,0,white,S
5167,1,1,1,0,white,MW
2320,7,1,0,0,white,W
6884,2,1,1,0,white,MW
3770,6,1,1,0,white,MW
5697,5,0,1,0,white,NE
1868,5,1,1,0,white,S
7099,2,1,1,0,white,W
4438,4,0,1,0,white,MW
2434,3,1,1,0,white,NE
2635,7,1,1,1,white,S
4168,6,1,1,0,white,S
3696,4,1,1,1,white,W
6750,3,0,0,0,white,W
1229,1,0,1,1,white,MW
2389,7,0,1,0,white,S
8477,7,0,1,0,white,NE
2314,5,0,1,0,white,NE
8726,4,0,1,0,white,MW
5809,5,1,1,0,white,W
3328,3,1,0,0,white,S
8512,3,0,0,1,white,S
4785,4,1,0,0,white,S
5524,6,1,1,0,white,S
7307,6,0,1,0,white,NE
3925,2,1,1,1,white,S
7729,5,0,1,0,white,MW
3537,4,1,1,0,white,MW
6341,4,1,1,1,white,S
6659,2,0,0,0,white,S
8606,5,1,1,0,white,MW
6170,5,1,1,0,white,MW
4386,2,0,1,0,white,S
4419,7,1,1,0,white,S
5975,5,1,1,0,white,S
428,1,1,1,0,white,MW
2271,5,0,1,1,white,NE
3684,4,1,0,0,white,W
682,3,1,1,0,white,W
2569,5,0,1,0,white,S
4093,4,0,1,0,white,W
7581,2,1,0,0,white,S
3332,1,1,1,0,white,MW
1734,5,1,0,0,white,MW
5415,4,0,1,0,white,NE
5770,3,0,0,0,white,MW
6187,2,0,0,0,white,MW
1110,3,0,0,0,white,NE
5979,6,1,1,0,white,MW
7235,3,0,1,0,white,S
1074,4,1,0,0,white,NE
1561,3,0,1,0,white,W
323,5,1,1,0,white,S
4928,2,0,0,1,white,S
103,5,0,1,0,white,S
7511,5,0,1,0,white,S
5508,1,1,1,0,black,MW
9855,7,1,1,0,white,S
8774,3,1,1,0,white,MW
148,5,1,1,0,white,MW
7076,4,1,1,0,white,MW
1776,4,1,1,0,white,S
4196,7,0,1,0,white,S
4933,2,1,1,1,white,NE
5949,6,1,1,1,white,W
7214,4,1,1,0,white,NE
6139,5,0,1,0,white,MW
424,6,1,1,0,white,S
725,4,0,1,0,white,S
3056,1,1,0,1,white,S
3380,4,1,1,0,white,S
7197,1,1,1,0,white,S
1568,3,1,1,0,white,NE
7321,4,1,0,1,white,NE
1274,4,1,1,0,white,S
7981,5,1,1,0,white,W
5421,2,0,1,0,white,S
2943,7,0,1,1,white,S
60,6,0,1,0,white,NE
2436,4,0,1,0,white,S
3176,5,0,1,0,white,W
3330,2,1,1,0,white,W
4555,4,1,0,1,white,NE
453,3,0,1,0,white,S
2872,4,1,0,0,white,NE
7583,1,1,1,0,white,S
9638,3,0,0,0,white,NE
8737,4,1,1,0,white,S
2447,5,0,1,0,asian,S
766,4,1,1,0,white,S
9266,6,1,0,0,white,W
9663,5,1,1,0,white,MW
2191,5,1,1,0,black,S
4159,3,0,1,0,white,MW
5670,5,1,1,1,white,MW
1332,7,1,1,0,white,S
6876,3,1,0,0,white,W
4029,2,0,1,1,white,S
1653,2,1,0,0,white,MW
1228,7,0,1,0,white,NE
3730,1,0,0,0,black,MW
4754,5,0,0,1,black,NE
354,2,0,1,0,white,NE
8195,5,0,0,0,white,MW
6512,4,0,1,1,white,S
4715,3,1,1,1,white,S
3465,4,0,1,0,white,NE
9300,5,1,1,1,white,S
1598,6,0,1,1,white,MW
6175,5,0,1,0,white,W
7994,6,0,0,0,white,NE
9519,4,1,0,0,white,S
5519,7,0,1,1,white,NE
21,1,0,1,0,white,S
5208,4,0,1,0,black,S
1518,4,0,1,1,white,W
7007,4,1,1,1,white,S
5738,5,1,1,0,white,W
5657,7,1,1,0,white,W
3229,5,0,1,0,white,NE
9496,7,0,1,0,white,MW
9942,4,1,1,0,white,NE
6003,5,0,1,0,white,NE
3988,2,0,1,1,white,S
5883,5,0,0,0,white,S
9493,3,0,1,0,white,W
1145,5,0,0,0,white,S
7492,5,0,1,1,white,S
2059,7,0,1,0,white,S
6581,3,1,1,0,white,MW
1204,3,0,1,0,white,W
8776,2,0,1,1,white,NE
6375,6,1,1,0,white,MW
5739,7,1,1,0,white,S
5323,4,1,0,0,white,NE
5777,2,1,1,0,white,NE
5965,6,0,1,0,white,W
2774,4,0,1,1,white,S
3011,3,1,1,0,white,S
7335,4,1,1,0,white,W
6515,4,0,1,0,white,S
4334,7,1,1,0,white,NE
702,7,1,1,0,white,S
1771,6,1,1,0,asian,W
4644,6,1,1,0,white,NE
5137,5,1,0,0,white,S
6148,4,1,1,0,black,MW
4892,2,1,0,0,white,MW
5706,2,0,1,0,white,S
7211,7,0,1,1,white,S
3779,1,0,0,0,white,MW
2252,2,0,0,1,white,MW
5434,4,0,1,0,white,S
1165,4,0,1,1,white,MW
9240,1,0,1,0,white,MW
9247,1,1,1,0,white,NE
8594,6,1,1,0,white,S
3976,7,0,0,0,white,S
47,4,0,0,1,white,S
7398,5,1,0,0,white,NE
5163,3,1,1,0,white,S
6648,7,1,1,0,white,MW
160,5,0,1,1,white,S
1533,4,1,0,0,white,S
5096,4,0,1,0,white,MW
6262,7,1,1,0,white,W
6360,2,1,1,0,white,S
7866,2,0,1,1,white,W
3864,7,1,1,1,white,W
4104,5,0,1,0,white,MW
7038,3,0,1,0,white,S
3709,6,0,1,0,white,S
6602,7,1,1,0,white,S
3405,1,1,1,0,white,S
4756,5,0,1,0,white,S
5895,5,1,1,0,white,W
8783,3,1,1,0,white,NE
1018,7,1,1,0,white,W
912,6,0,1,1,white,MW
1616,4,0,1,1,white,S
6708,2,0,1,0,white,NE
6099,1,1,0,0,asian,S
3703,3,1,1,0,white,NE
28,5,1,1,0,white,MW
4523,5,1,0,0,white,S
5494,7,0,1,0,white,MW
8308,4,0,0,0,white,NE
7177,7,0,0,0,white,W
1044,4,0,1,1,white,MW
4300,3,1,1,0,white,S
421,4,1,1,0,white,S
5759,5,0,0,0,white,W
3025,4,1,0,0,white,MW
2469,4,1,1,1,white,S
888,3,1,0,0,white,S
9871,6,0,1,0,white,W
1740,6,1,1,0,white,MW
9683,7,0,1,0,white,S
262,5,1,0,0,white,S
8524,5,0,1,1,white,NE
5584,4,1,1,0,white,MW
781,3,1,1,0,white,W
8809,5,1,1,1,white,NE
6185,3,1,1,0,white,S
5767,6,0,1,0,white,MW
6293,1,1,0,0,white,S
7355,3,1,1,0,white,S
5976,5,0,0,1,white,MW
7484,6,1,0,0,white,MW
5599,1,0,0,1,white,S
4256,4,1,1,0,black,S
9831,7,0,1,0,white,W
4525,1,0,0,1,white,MW
2939,7,1,1,0,white,MW
2346,3,1,1,0,white,S
2077,7,0,1,0,white,S
5178,5,1,1,1,white,S
2871,5,0,0,0,white,NE
3752,4,0,1,0,white,MW
7619,7,1,1,0,white,S
6449,1,1,0,0,white,S
2643,4,1,1,0,black,S
9271,3,0,1,1,white,NE
82,5,0,1,0,white,S
9577,7,1,1,0,white,MW
4685,7,0,1,0,white,S
3842,3,0,0,0,white,W
2049,4,0,1,0,white,NE
4764,5,1,1,0,white,W
2868,3,1,1,0,white,S
9909,5,0,1,1,white,W
7832,5,0,1,0,white,MW
4260,2,1,1,0,black,S
4435,3,1,1,0,white,S
4303,6,0,1,0,white,S
8732,5,0,1,0,white,NE
2450,3,1,1,0,white,S
592,7,1,1,1,white,MW
8833,3,0,0,0,white,S
5498,4,0,1,0,white,S
545,4,0,1,0,white,S
3888,6,1,0,0,white,MW
5129,2,0,1,0,white,W
5969,2,0,1,0,white,S
6977,5,1,0,1,white,MW
3502,5,1,0,0,white,MW
2143,2,0,1,0,white,S
1140,4,1,1,0,white,W
2807,5,1,0,0,white,S
5579,6,0,1,0,white,MW
621,3,1,1,1,white,S
