auction_id	auction_description	round	bidder_frn	bidder_name	item_name	item_description	round_of_pwb	pwb_amount	net_pwb_amount
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA018-B	San Diego, CA	31	176977000.0000	176977000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA019-B	Denver-Boulder, CO	42	55682000.0000	55682000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA034-B	Rochester, NY	19	19135000.0000	19135000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA035-B	Sacramento, CA	29	77783000.0000	77783000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA051-B	Jacksonville, FL	39	30733000.0000	30733000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA050-B	Honolulu, HI	18	11916000.0000	11916000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA067-B	Greenville-Spartanburg, SC	26	12861000.0000	12861000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA068-B	Flint, MI	27	7399000.0000	7399000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA069-B	Wilmington, DE-NJ-MD	27	21284000.0000	21284000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA083-B	Mobile, AL	21	11046000.0000	11046000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA084-B	Harrisburg, PA	27	5547000.0000	5547000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA085-B	Johnson City-Kingsport, TN-VA	18	5446000.0000	5446000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA100-B	Shreveport, LA	31	7947000.0000	7947000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA101-B	Beaumont-Port Arthur, TX	27	2617000.0000	2617000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA117-B	Colorado Springs, CO	31	6630000.0000	6630000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA118-B	Reading, PA	27	1820000.0000	1820000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA134-B	Atlantic City, NJ	27	2520000.0000	2520000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA135-B	Eugene-Springfield, OR	27	1978000.0000	1978000.0000	
73	700 MHz Band	261	0005746508	PCS Partners, L.P.	WY-CMA151-B	Poughkeepsie, NY	29	674000.0000	505500.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA152-B	Portland, ME	16	1662000.0000	1662000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA153-B	Columbus, GA-AL	22	826000.0000	826000.0000	
73	700 MHz Band	261	0017189325	VentureTel 700, Inc.	WY-CMA169-B	Mayaguez, PR	98	547000.0000	410250.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA170-B	Galveston-Texas City, TX	31	930000.0000	697500.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA168-B	Tallahassee, FL	27	9312000.0000	9312000.0000	
73	700 MHz Band	261	0017163114	I-700, LLC	WY-CMA185-B	Terre Haute, IN	88	665000.0000	665000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA186-B	Green Bay, WI	22	3752000.0000	2814000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA187-B	Anchorage, AK	97	1383000.0000	1383000.0000	
73	700 MHz Band	261	0003778362	Agri-Valley Communications, Inc.	WY-CMA181-B	Muskegon, MI	35	339000.0000	288150.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA182-B	Fayetteville-Springdale, AR	23	5789000.0000	5789000.0000	
73	700 MHz Band	261	0017189325	VentureTel 700, Inc.	WY-CMA202-B	Arecibo, PR	98	401000.0000	300750.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA203-B	Lynchburg, VA	29	428000.0000	321000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA219-B	Monroe, LA	27	1729000.0000	1729000.0000	
73	700 MHz Band	261	0001649508	Central Texas Telephone Investments, LP	WY-CMA220-B	Abilene, TX	27	641000.0000	641000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA013-B	Pittsburgh, PA	26	76471000.0000	76471000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA014-B	Baltimore, MD	26	120249000.0000	120249000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA096-B	Fort Wayne, IN	18	3706000.0000	3706000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA097-B	Bakersfield, CA	31	8248000.0000	8248000.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA130-B	Erie, PA	90	224000.0000	168000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA131-B	Rockford, IL	33	2407000.0000	2407000.0000	
73	700 MHz Band	261	0017189325	VentureTel 700, Inc.	WY-CMA147-B	Ponce, PR	76	590000.0000	442500.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA148-B	Salem, OR	28	1161000.0000	1161000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA018-A	Greensboro-Winston-Salem NC-VA	60	4872000.0000	3654000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA018-E	Greensboro-Winston-Salem NC-VA	53	4463000.0000	4463000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA085-A	Lafayette LA	31	10614000.0000	10614000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA085-E	Lafayette LA	88	1753000.0000	1753000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA136-E	Hobbs NM-TX	75	286000.0000	286000.0000	
73	700 MHz Band	261	0001612555	PVT Networks, Inc.	WY-BEA136-A	Hobbs NM-TX	27	473000.0000	402050.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA031-B	Columbus, OH	21	23487000.0000	23487000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA030-B	Portland, OR-WA	28	46451000.0000	46451000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA063-B	Springfield-Holyoke, MA	27	11806000.0000	11806000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA064-B	Grand Rapids, MI	22	38441000.0000	38441000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA079-B	Knoxville, TN	26	18346000.0000	18346000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA080-B	Baton Rouge, LA	22	16010000.0000	16010000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA113-B	Madison, WI	27	12029000.0000	12029000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA114-B	Lakeland-Winter Haven, FL	25	16068000.0000	16068000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA164-B	Fort Myers, FL	26	12635000.0000	12635000.0000	
73	700 MHz Band	261	0015014202	Cox Wireless, Inc.	WY-CMA165-B	Fort Smith AR-OK	103	5789000.0000	5789000.0000	
73	700 MHz Band	261	0002624856	Wireless Communications Venture	WY-CMA198-B	St. Cloud, MN	38	8055000.0000	8055000.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA199-B	Steubenville-Weirton, OH-WV	235	58000.0000	43500.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA215-B	Chico, CA	82	373000.0000	279750.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA216-B	Janesville-Beloit, WI	43	546000.0000	409500.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-BEA034-A	Tampa-St. Petersburg FL	25	102138000.0000	102138000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA034-E	Tampa-St. Petersburg FL	36	12410000.0000	12410000.0000	
73	700 MHz Band	261	0017190216	Continuum 700 LLC	WY-BEA051-A	Columbus OH	33	7814000.0000	5860500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA051-E	Columbus OH	8	3295000.0000	3295000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-BEA068-A	Champaign-Urbana IL	51	4538000.0000	3403500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA068-E	Champaign-Urbana IL	111	1742000.0000	1742000.0000	
73	700 MHz Band	261	0015014202	Cox Wireless, Inc.	WY-BEA020-A	Norfolk-Virginia Beach VA-NC	45	18868000.0000	18868000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA020-E	Norfolk-Virginia Beach VA-NC	8	6391000.0000	6391000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA016-A	Staunton VA-WV	64	533000.0000	399750.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA015-E	Richmond-Petersburg VA	69	3324000.0000	3324000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA016-E	Staunton VA-WV	65	75000.0000	75000.0000	
73	700 MHz Band	261	0017190216	Continuum 700 LLC	WY-BEA032-A	Fort Myers-Cape Coral FL	90	5726000.0000	4294500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA031-E	Miami-Fort Lauderdale FL	51	26110000.0000	26110000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA032-E	Fort Myers-Cape Coral FL	87	353000.0000	353000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-BEA049-A	Cincinnati-Hamilton OH-KY-IN	23	23601000.0000	23601000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA048-E	Charleston WV-KY-OH	29	401000.0000	401000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA049-E	Cincinnati-Hamilton OH-KY-IN	8	4840000.0000	4840000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-BEA066-A	Fort Wayne IN	94	2306000.0000	1729500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA065-E	Elkhart-Goshen IN-MI	57	754000.0000	754000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA066-E	Fort Wayne IN	69	306000.0000	306000.0000	
73	700 MHz Band	261	0015014202	Cox Wireless, Inc.	WY-BEA083-A	New Orleans LA-MS	20	15129000.0000	15129000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA082-E	Biloxi-Gulfport-Pascagoula MS	73	665000.0000	665000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA083-E	New Orleans LA-MS	145	2380000.0000	2380000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-BEA100-A	Des Moines IA-IL-MO	24	7740000.0000	5805000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA099-E	Kansas City MO-KS	57	8260000.0000	8260000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA100-E	Des Moines IA-IL-MO	30	3788000.0000	3788000.0000	
73	700 MHz Band	261	0014152201	LL License Holdings, LLC	WY-BEA117-A	Sioux City IA-NE-SD	31	955000.0000	811750.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA116-E	Sioux Falls SD-IA-MN-NE	153	482000.0000	482000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA117-E	Sioux City IA-NE-SD	101	450000.0000	450000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA133-E	McAllen-Edinburg-Mission TX	102	575000.0000	575000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA134-E	San Antonio TX	70	6690000.0000	6690000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-BEA134-A	San Antonio TX	20	23043000.0000	23043000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA150-E	Boise City ID-OR	129	720000.0000	720000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA151-E	Reno NV-CA	154	588000.0000	588000.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-BEA151-A	Reno NV-CA	183	2802000.0000	2101500.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA168-A	Pendleton OR-WA	78	730000.0000	730000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA167-E	Portland-Salem OR-WA	155	15393000.0000	15393000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA008-B	Washington, DC-MD-VA	26	241363000.0000	241363000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA009-B	Dallas-Fort Worth, TX	27	131125000.0000	131125000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA010-B	Houston, TX	26	194492000.0000	194492000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA025-B	Buffalo, NY	45	10461000.0000	10461000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA026-B	Phoenix, AZ	27	222649000.0000	222649000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA027-B	San Jose, CA	27	107376000.0000	107376000.0000	
